,experiment,kernel,disk_name,param0,param1,param2,param3,host time,result,final_tick,host_inst_rate,host_mem_usage,host_op_rate,host_seconds,host_tick_rate,sim_freq,sim_insts,sim_ops,sim_seconds,sim_ticks,param4,param5
1986,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,freqmine,simsmall,1,25.027945280075073,Success,16800591847411.0,5561667772.0,3856312.0,5560485360.0,0.98,842271379216.0,1000000000000.0,5476938517.0,5476938517.0,0.829646,829646381475.0,,
1987,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u20,o3,raytrace,simsmall,8,160.1375606060028,Success,157758800718232.0,41587550848.0,4020380.0,41573871401.0,0.61,607258605779.0,1000000000000.0,25195490387.0,25195490387.0,0.368047,368046984267.0,,
1988,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,canneal,simsmall,1,45.04915189743042,Success,120818030981050.0,4906220125.0,3873044.0,4905589059.0,1.37,4156703757274.0,1000000000000.0,6716371694.0,6716371694.0,5.69125,5691250103283.0,,
1989,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,dedup,native,1,115.10640907287598,Success,89745135722308.0,2065071678.0,5106512.0,2065065098.0,61.57,838497081925.0,1000000000000.0,127140872352.0,127140872352.0,51.624189,51624188831304.0,,
1990,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u18,simple,facesim,simsmall,1,40.04411482810974,Success,31962097789786.0,6058253723.0,3864852.0,6058007360.0,5.1,905825236028.0,1000000000000.0,30875155190.0,30875155190.0,4.616643,4616643418317.0,,
1991,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,streamcluster,simsmall,1,45.04524898529053,Success,114348532176496.0,14379387134.0,3872788.0,14372561724.0,0.42,794170049531.0,1000000000000.0,6093285314.0,6093285314.0,0.33672,336719904372.0,,
1992,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,o3,streamcluster,simsmall,8,60.0604932308197,Success,21268265060719.0,10959171739.0,3984544.0,10954901717.0,0.58,549794457860.0,1000000000000.0,6408123219.0,6408123219.0,0.321623,321623474247.0,,
1993,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u20,simple,canneal,simsmall,2,75.07155704498291,Success,151910947863127.0,2624287733.0,3888340.0,2624061183.0,2.46,3341695256392.0,1000000000000.0,6459401719.0,6459401719.0,8.22607,8226070042653.0,,
1994,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,dedup,simsmall,8,60.06062889099121,Success,22085408068417.0,3272715030.0,3977884.0,3272437606.0,2.28,720835635135.0,1000000000000.0,7473216321.0,7473216321.0,1.646188,1646187703128.0,,
1995,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,blackscholes,simlarge,8,60.06049084663391,Success,22255037226460.0,8658540157.0,3977884.0,8656507142.0,0.94,675261421153.0,1000000000000.0,8170485886.0,8170485886.0,0.637378,637377917733.0,,
1996,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,canneal,simsmall,8,160.13852047920227,Success,150630485239495.0,1826806095.0,4026108.0,1826729198.0,5.59,1256212013997.0,1000000000000.0,10214038889.0,10214038889.0,7.024063,7024062910995.0,,
1997,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,freqmine,simsmall,8,155.1448516845703,Success,142723309463695.0,8780977974.0,4023040.0,8779372918.0,1.21,668042326031.0,1000000000000.0,10589065707.0,10589065707.0,0.805765,805765233861.0,,
