,experiment,kernel,disk_name,param0,param1,param2,param3,host time,result,final_tick,host_inst_rate,host_mem_usage,host_op_rate,host_seconds,host_tick_rate,sim_freq,sim_insts,sim_ops,sim_seconds,sim_ticks,param4,param5
2031,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u18,simple,facesim,simsmall,8,85.08051633834839,Success,37192458657655.0,4075223933.0,3990012.0,4075119243.0,8.01,726794762717.0,1000000000000.0,32623207352.0,32623207352.0,5.818356,5818355720766.0,,
2032,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,raytrace,simsmall,2,80.07865619659424,Success,147137896924561.0,55761317048.0,3895092.0,55735906897.0,0.43,764676622564.0,1000000000000.0,23697012146.0,23697012146.0,0.325138,325138322880.0,,
2033,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,streamcluster,simsmall,1,45.04322576522827,Success,113245542090343.0,14899340867.0,3872024.0,14893266601.0,0.41,819528968201.0,1000000000000.0,6084444381.0,6084444381.0,0.33483,334829511324.0,,
2034,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,dedup,simsmall,2,75.07020044326782,Success,140376283950250.0,4914318705.0,3895096.0,4913704694.0,1.68,768157633376.0,1000000000000.0,8277453091.0,8277453091.0,1.294036,1294036139196.0,,
2035,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,swaptions,simsmall,2,65.05689716339111,Success,143452200110761.0,14291538362.0,3895096.0,14285855972.0,0.52,779701648777.0,1000000000000.0,7426536213.0,7426536213.0,0.405355,405355363209.0,,
2036,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,blackscholes,native,1,200.18265008926392,Success,154190081442466.0,3913355955.0,4545356.0,3913347935.0,110.16,887656833273.0,1000000000000.0,431090494243.0,431090494243.0,97.783412,97783412252787.0,,
2037,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,raytrace,simlarge,1,35.032179832458496,Success,23997416793436.0,16240531632.0,3857332.0,16238784416.0,1.8,895213319353.0,1000000000000.0,29222922547.0,29222922547.0,1.611032,1611031918770.0,,
2038,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,freqmine,simlarge,1,40.0418655872345,Success,26365858882534.0,3275659172.0,3857332.0,3275587697.0,10.71,880767044298.0,1000000000000.0,35086273206.0,35086273206.0,9.43432,9434320080489.0,,
2039,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,streamcluster,simlarge,2,45.04191589355469,Success,30340201809619.0,1918788889.0,3877844.0,1918763428.0,12.12,855900197199.0,1000000000000.0,23262909607.0,23262909607.0,10.376875,10376875277793.0,,
2040,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,bodytrack,native,1,280.2513675689697,Success,284605305105700.0,4044793268.0,4795216.0,4044788178.0,190.93,901190357965.0,1000000000000.0,772275370012.0,772275370012.0,172.065197,172065196547685.0,,
2041,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,facesim,simsmall,1,150.13552713394165,Success,863829840628504.0,52301188.0,3937608.0,52301124.0,137.17,6297447221686.0,1000000000000.0,7174218471.0,7174218471.0,863.829841,863829840628504.0,,
2042,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,canneal,native,1,330.27540373802185,Success,287088257117917.0,548961443.0,3978336.0,548961056.0,244.66,908539839138.0,1000000000000.0,134310664830.0,134310664830.0,222.286445,222286445039673.0,,
2043,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u18,simple,x264,simsmall,8,885.7269017696381,Success,1279473740909263.0,33674322285.0,4218364.0,33663444949.0,0.53,567132660125.0,1000000000000.0,17837109266.0,17837109266.0,0.300519,300518811702.0,,
2044,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,canneal,simsmall,8,150.13495302200317,Success,149799522167695.0,1818683022.0,4019708.0,1818629712.0,5.71,1333579096282.0,1000000000000.0,10381904672.0,10381904672.0,7.612957,7612957239849.0,,
2045,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,swaptions,simlarge,8,75.06254696846008,Success,27366105354814.0,3161344549.0,3978912.0,3161282551.0,10.58,727557420169.0,1000000000000.0,33454174143.0,33454174143.0,7.699379,7699379168745.0,,
2046,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,facesim,simlarge,8,85.07139921188354,Success,36437085079363.0,3711611089.0,3983008.0,3711514943.0,8.74,655300116361.0,1000000000000.0,32456397651.0,32456397651.0,5.730482,5730481645470.0,,
2047,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,o3,streamcluster,simsmall,8,165.13847184181213,Success,147812612453641.0,18339156081.0,4024064.0,18330733144.0,0.53,530549047417.0,1000000000000.0,9669185581.0,9669185581.0,0.279886,279885927240.0,,
2048,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,vips,simlarge,2,45.03969168663025,Success,34418092311478.0,1282774721.0,3874776.0,1282765768.0,28.34,1214490723216.0,1000000000000.0,36352942416.0,36352942416.0,34.418092,34418092311478.0,,
2049,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,raytrace,native,1,345.28541374206543,Success,298291224203317.0,4309063675.0,4338808.0,4309060034.0,231.9,903762844399.0,1000000000000.0,999282848253.0,999282848253.0,209.585107,209585107284147.0,,
2050,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,raytrace,simlarge,2,45.04391837120056,Success,28773739612846.0,15180094011.0,3874772.0,15178522657.0,1.94,854035012601.0,1000000000000.0,29476931610.0,29476931610.0,1.658578,1658578485276.0,,
2051,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u20,simple,streamcluster,simsmall,2,75.06915926933289,Success,140889443934592.0,17027632348.0,3894068.0,17021441220.0,0.42,780270061888.0,1000000000000.0,7064501942.0,7064501942.0,0.323859,323858662488.0,,
2052,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,freqmine,simlarge,2,45.042208194732666,Success,29492421461929.0,3395846358.0,3873752.0,3395786944.0,10.4,864443815429.0,1000000000000.0,35328907050.0,35328907050.0,8.993485,8993485174671.0,,
2053,parsec classic memory tests with gem5-20,vmlinux-5.4.51,parsec-u18,o3,x264,simsmall,1,30.029510974884033,Success,17521029059707.0,14743436678.0,3863572.0,14736103590.0,0.32,793181422273.0,1000000000000.0,4788509063.0,4788509063.0,0.257764,257764052592.0,,
2054,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,dedup,simlarge,8,115.11566925048828,Success,57549096286678.0,960827306.0,4273272.0,960823483.0,48.31,649844394614.0,1000000000000.0,46413501099.0,46413501099.0,31.391376,31391375705496.0,,
2055,parsec classic memory tests with gem5-20,vmlinux-4.15.18,parsec-u18,kvm,blackscholes,simsmall,2,235.20328545570374,Success,833377488507460.0,56523785962.0,3913684.0,56428675864.0,0.11,512522925802.0,1000000000000.0,6185115505.0,6185115505.0,0.05619,56190142944.0,,
